E21D	立井；隧道；平巷；地下室
E21F	矿井或隧道中或其自身的安全装置，运输、充填、救护、通风或排水
F01B	一般的或变容式的机器或发动机，如蒸汽机
F01C	旋转活塞式或摆动活塞式机器或发动机
F01D	非变容式机器或发动机，如汽轮机
F01K	蒸汽机装置；贮汽器；未列入其它类的发动机装置；应用特殊工作流体或循环的发动机
F01L	机器或发动机用的循环操作阀
F01M	一般机器或发动机的润滑；内燃机润滑；曲轴箱通风
F01N	一般机器或发动机的气流消音器或排气装置；内燃机的气流消音器或排气装置
F01P	一般机器或发动机的冷却；内燃机的冷却
F02B	活塞式内燃机；一般燃烧发动机
F02C	燃气轮机装置；喷气推进装置的空气进气道；空气助燃的喷气推进装置燃料供给的控制
F02D	燃烧发动机的控制
F02F	燃烧发动机的汽缸、活塞或曲轴箱；燃烧发动机的密封装置
F02G	热气或燃烧产物的变容式发动机装置；未列入其它类的燃烧发动机余热的利用
F02K	喷气推进装置
F02M	一般燃烧发动机可燃混合物的供给或其组成部分
F02N	燃烧发动机的起动；未列入其它类的上述发动机的起动辅助装置
F02P	除压缩点火之外的内燃机点火；压缩点火发动机点火正时的测试
F03B	液力机械或液力发动机
F03C	液体驱动的变容式发动机
F03D	风力发动机
F03G	弹力、重力、惯性或类似的发动机；未列入其它类的机械动力产生装置或机构，或未列入其它类的能源利用
F03H	未列入其它类的反推力的产生
F04B	液体变容式机械；泵
F04C	旋转活塞或摆动活塞的液体变容式机械；旋转活塞或摆动活塞的变容式泵
F04D	非变容式泵
F04F	通过与别的流体直接接触或通过利用被泵送流体惯性泵送流体；虹吸管
F15B	一般流体工作系统；流体压力执行机构，如伺服马达；未列入其它类的流体压力部件
F15C	计算或控制用的流体回路元件
F15D	流体动力学，即影响气体或液体流动的方法或装置
F16B	紧固或固定构件或机器零件用的器件，如钉、螺栓、簧环、夹、卡箍、楔；联接件或联接
F16C	轴；软轴；曲轴机构的元件；除传动元件以外的转动部件；轴承
F16D	传送旋转运动的联轴器；离合器；制动器
F16F	弹簧；减震器；减振装置
F16G	主要用于传动的带、缆或绳，链；其所用的主要附件
F16H	传动装置
F16J	活塞；缸；压力容器
